spt,survey,Number/Sq. Deg,Model,Distance
15,Grism,5.439,H=200 pc,4635.0
16,Grism,26.755,H=200 pc,3164.0
17,Grism,45.724,H=200 pc,2197.0
18,Grism,42.949,H=200 pc,1569.0
19,Grism,33.004,H=200 pc,1161.0
20,Grism,25.276,H=200 pc,895.0
21,Grism,19.735,H=200 pc,719.0
22,Grism,15.712,H=200 pc,603.0
23,Grism,12.974,H=200 pc,527.0
24,Grism,11.398,H=200 pc,477.0
25,Grism,10.717,H=200 pc,447.0
26,Grism,10.598,H=200 pc,429.0
27,Grism,10.809,H=200 pc,420.0
28,Grism,11.163,H=200 pc,416.0
29,Grism,11.526,H=200 pc,413.0
30,Grism,11.895,H=200 pc,410.0
31,Grism,12.057,H=200 pc,402.0
32,Grism,11.74,H=200 pc,388.0
33,Grism,10.909,H=200 pc,366.0
34,Grism,9.604,H=200 pc,336.0
35,Grism,7.87,H=200 pc,300.0
36,Grism,6.227,H=200 pc,259.0
37,Grism,4.853,H=200 pc,218.0
38,Grism,3.478,H=200 pc,179.0
39,Grism,2.293,H=200 pc,144.0
15,Grism,15.163,H=300 pc,4635.0
16,Grism,67.963,H=300 pc,3164.0
17,Grism,102.249,H=300 pc,2197.0
18,Grism,85.031,H=300 pc,1569.0
19,Grism,59.005,H=300 pc,1161.0
20,Grism,41.604,H=300 pc,895.0
21,Grism,30.433,H=300 pc,719.0
22,Grism,23.058,H=300 pc,603.0
23,Grism,18.368,H=300 pc,527.0
24,Grism,15.742,H=300 pc,477.0
25,Grism,14.563,H=300 pc,447.0
26,Grism,14.265,H=300 pc,429.0
27,Grism,14.477,H=300 pc,420.0
28,Grism,14.917,H=300 pc,416.0
29,Grism,15.381,H=300 pc,413.0
30,Grism,15.842,H=300 pc,410.0
31,Grism,15.986,H=300 pc,402.0
32,Grism,15.441,H=300 pc,388.0
33,Grism,14.167,H=300 pc,366.0
34,Grism,12.254,H=300 pc,336.0
35,Grism,9.82,H=300 pc,300.0
36,Grism,7.572,H=300 pc,259.0
37,Grism,5.741,H=300 pc,218.0
38,Grism,4.003,H=300 pc,179.0
39,Grism,2.573,H=300 pc,144.0
15,Grism,69.777,H=600 pc,4635.0
16,Grism,247.302,H=600 pc,3164.0
17,Grism,296.787,H=600 pc,2197.0
18,Grism,203.549,H=600 pc,1569.0
19,Grism,120.706,H=600 pc,1161.0
20,Grism,75.269,H=600 pc,895.0
21,Grism,50.216,H=600 pc,719.0
22,Grism,35.6,H=600 pc,603.0
23,Grism,27.071,H=600 pc,527.0
24,Grism,22.486,H=600 pc,477.0
25,Grism,20.393,H=600 pc,447.0
26,Grism,19.743,H=600 pc,429.0
27,Grism,19.914,H=600 pc,420.0
28,Grism,20.464,H=600 pc,416.0
29,Grism,21.068,H=600 pc,413.0
30,Grism,21.645,H=600 pc,410.0
31,Grism,21.727,H=600 pc,402.0
32,Grism,20.784,H=600 pc,388.0
33,Grism,18.784,H=600 pc,366.0
34,Grism,15.915,H=600 pc,336.0
35,Grism,12.43,H=600 pc,300.0
36,Grism,9.309,H=600 pc,259.0
37,Grism,6.845,H=600 pc,218.0
38,Grism,4.632,H=600 pc,179.0
39,Grism,2.898,H=600 pc,144.0
15,Grism,9.665,Thick Disk,4635.0
16,Grism,35.417,Thick Disk,3164.0
17,Grism,38.695,Thick Disk,2197.0
18,Grism,23.399,Thick Disk,1569.0
19,Grism,12.591,Thick Disk,1161.0
20,Grism,7.203,Thick Disk,895.0
21,Grism,4.549,Thick Disk,719.0
22,Grism,3.123,Thick Disk,603.0
23,Grism,2.298,Thick Disk,527.0
24,Grism,1.839,Thick Disk,477.0
25,Grism,1.589,Thick Disk,447.0
26,Grism,1.46,Thick Disk,429.0
27,Grism,1.403,Thick Disk,420.0
28,Grism,1.389,Thick Disk,416.0
29,Grism,1.388,Thick Disk,413.0
30,Grism,1.382,Thick Disk,410.0
31,Grism,1.341,Thick Disk,402.0
32,Grism,1.24,Thick Disk,388.0
33,Grism,1.082,Thick Disk,366.0
34,Grism,0.882,Thick Disk,336.0
35,Grism,0.663,Thick Disk,300.0
36,Grism,0.48,Thick Disk,259.0
37,Grism,0.359,Thick Disk,218.0
38,Grism,0.278,Thick Disk,179.0
39,Grism,0.198,Thick Disk,144.0
15,Grism,1.248,Halo,4635.0
16,Grism,2.991,Halo,3164.0
17,Grism,2.268,Halo,2197.0
18,Grism,1.053,Halo,1569.0
19,Grism,0.47,Halo,1161.0
20,Grism,0.237,Halo,895.0
21,Grism,0.138,Halo,719.0
22,Grism,0.089,Halo,603.0
23,Grism,0.063,Halo,527.0
24,Grism,0.049,Halo,477.0
25,Grism,0.041,Halo,447.0
26,Grism,0.038,Halo,429.0
27,Grism,0.036,Halo,420.0
28,Grism,0.035,Halo,416.0
29,Grism,0.035,Halo,413.0
30,Grism,0.035,Halo,410.0
31,Grism,0.034,Halo,402.0
32,Grism,0.031,Halo,388.0
33,Grism,0.027,Halo,366.0
34,Grism,0.021,Halo,336.0
35,Grism,0.016,Halo,300.0
36,Grism,0.011,Halo,259.0
37,Grism,0.008,Halo,218.0
38,Grism,0.006,Halo,179.0
39,Grism,0.004,Halo,144.0
15,Imaging,5.506,H=200 pc,60799.0
16,Imaging,28.861,H=200 pc,41840.0
17,Imaging,58.379,H=200 pc,29277.0
18,Imaging,72.559,H=200 pc,21058.0
19,Imaging,79.256,H=200 pc,15689.0
20,Imaging,88.314,H=200 pc,12165.0
21,Imaging,98.806,H=200 pc,9839.0
22,Imaging,108.103,H=200 pc,8298.0
23,Imaging,115.844,H=200 pc,7282.0
24,Imaging,124.006,H=200 pc,6625.0
25,Imaging,133.703,H=200 pc,6214.0
26,Imaging,143.941,H=200 pc,5973.0
27,Imaging,153.623,H=200 pc,5842.0
28,Imaging,161.985,H=200 pc,5770.0
29,Imaging,169.255,H=200 pc,5711.0
30,Imaging,178.024,H=200 pc,5621.0
31,Imaging,188.006,H=200 pc,5465.0
32,Imaging,197.758,H=200 pc,5214.0
33,Imaging,208.361,H=200 pc,4857.0
34,Imaging,220.472,H=200 pc,4401.0
35,Imaging,231.451,H=200 pc,3869.0
36,Imaging,249.736,H=200 pc,3301.0
37,Imaging,279.31,H=200 pc,2739.0
38,Imaging,295.8,H=200 pc,2221.0
39,Imaging,289.177,H=200 pc,1773.0
15,Imaging,16.005,H=300 pc,60799.0
16,Imaging,83.893,H=300 pc,41840.0
17,Imaging,169.693,H=300 pc,29277.0
18,Imaging,210.913,H=300 pc,21058.0
19,Imaging,230.38,H=300 pc,15689.0
20,Imaging,256.7,H=300 pc,12165.0
